,Buckeye,Freq,Log Freq,Fischer,Freq,Log Freq,Google ,Freq,Log Freq,Switchboard,Freq,Log Freq
'em,1,3.54E-06,-12.55169928,13219,0.000628699,-7.371857289,68430,6.68E-08,-16.52205763,,,
Adam,1,3.54E-06,-12.55169928,,,,18892264,1.84E-05,-10.90136115,,,
Big,1,3.54E-06,-12.55169928,,,,75127676,7.33E-05,-9.520924658,,,
Daddy,1,3.54E-06,-12.55169928,,,,6714936,6.55E-06,-11.93577937,,,
I,50,0.000176944,-8.639676276,1,4.76E-08,-16.86126776,2744649681,0.002677947,-5.922704946,,,
I'd,2,7.08E-06,-11.8585521,,,,56911,5.55E-08,-16.70638031,,,
I'll,1,3.54E-06,-12.55169928,,,,113570,1.11E-07,-16.01544956,,,
I'm,8,2.83E-05,-10.47225774,1,4.76E-08,-16.86126776,327491,3.20E-07,-14.95640838,,,
I've,3,1.06E-05,-11.45308699,,,,113664,1.11E-07,-16.01462222,,,
K,1,3.54E-06,-12.55169928,,,,121911855,0.000118949,-9.036815388,,,
Maslow,1,3.54E-06,-12.55169928,,,,161405,1.57E-07,-15.66395222,,,
P's,1,3.54E-06,-12.55169928,,,,562,5.48E-10,-21.32412238,,,
Sandler,1,3.54E-06,-12.55169928,,,,870728,8.50E-07,-13.97853931,,,
Voyager,1,3.54E-06,-12.55169928,,,,3082664,3.01E-06,-12.71431951,,,
a,6078,0.021509334,-3.839268308,440401,0.020945597,-3.865826802,7841087012,0.007650526,-4.872980918,34186,0.023350822,-3.757123103
a's,12,4.25E-05,-10.06679263,25,1.19E-06,-13.64239193,,,,17,1.16E-05,-11.36348124
aaron's,1,3.54E-06,-12.55169928,1,4.76E-08,-16.86126776,,,,,,
abandoned,1,3.54E-06,-12.55169928,66,3.14E-06,-12.67161301,5405117,5.27E-06,-12.15276757,5,3.42E-06,-12.58725667
abercrombie,1,3.54E-06,-12.55169928,4,1.90E-07,-15.4749734,255984,2.50E-07,-15.20275401,,,
abhorrent,2,7.08E-06,-11.8585521,3,1.43E-07,-15.76265547,167235,1.63E-07,-15.62846894,,,
abide,1,3.54E-06,-12.55169928,34,1.62E-06,-13.33490723,3580353,3.49E-06,-12.56465227,1,6.83E-07,-14.19669459
abilities,2,7.08E-06,-11.8585521,67,3.19E-06,-12.65657514,6726666,6.56E-06,-11.93403404,10,6.83E-06,-11.89410949
ability,6,2.12E-05,-10.75993981,457,2.17E-05,-10.73658437,47721528,4.66E-05,-9.974731054,48,3.28E-05,-10.32549357
able,115,0.000406972,-7.806767153,7898,0.000375631,-7.886902915,106730434,0.000104137,-9.169807324,586,0.000400269,-7.823374796
abortion,10,3.54E-05,-10.24911419,43,2.05E-06,-13.10006764,6318235,6.16E-06,-11.99667377,11,7.51E-06,-11.79879931
abortions,1,3.54E-06,-12.55169928,8,3.80E-07,-14.78182622,1143455,1.12E-06,-13.70605929,2,1.37E-06,-13.5035474
about,1096,0.003878616,-5.552276814,90294,0.004294408,-5.450441465,791444780,0.00077221,-7.166253561,5509,0.003762934,-5.582556188
above,15,5.31E-05,-9.84364908,555,2.64E-05,-10.54229964,130046452,0.000126886,-8.972221961,46,3.14E-05,-10.36805319
abraham,1,3.54E-06,-12.55169928,30,1.43E-06,-13.46007038,124223,1.21E-07,-15.92579061,3,2.05E-06,-13.0980823
abroad,2,7.08E-06,-11.8585521,154,7.32E-06,-11.82431515,9667020,9.43E-06,-11.57139358,9,6.15E-06,-11.99947001
abrupt,1,3.54E-06,-12.55169928,9,4.28E-07,-14.66404318,829339,8.09E-07,-14.02723995,1,6.83E-07,-14.19669459
abruptly,1,3.54E-06,-12.55169928,4,1.90E-07,-15.4749734,1005106,9.81E-07,-13.83502066,,,
absence,1,3.54E-06,-12.55169928,32,1.52E-06,-13.39553185,13327357,1.30E-05,-11.25029483,2,1.37E-06,-13.5035474
absent,1,3.54E-06,-12.55169928,11,5.23E-07,-14.46337248,6770868,6.61E-06,-11.92748438,2,1.37E-06,-13.5035474
absentee,5,1.77E-05,-10.94226137,6,2.85E-07,-15.06950829,688675,6.72E-07,-14.21309949,10,6.83E-06,-11.89410949
absolute,2,7.08E-06,-11.8585521,156,7.42E-06,-11.81141175,11359683,1.11E-05,-11.41004316,17,1.16E-05,-11.36348124
absolutely,17,6.02E-05,-9.718485937,4888,0.000232475,-8.366729256,16064235,1.57E-05,-11.0635183,294,0.000200817,-8.513114818
absorb,1,3.54E-06,-12.55169928,53,2.52E-06,-12.89097584,2241078,2.19E-06,-13.03315667,4,2.73E-06,-12.81040022
absorbs,1,3.54E-06,-12.55169928,6,2.85E-07,-15.06950829,617236,6.02E-07,-14.3226175,1,6.83E-07,-14.19669459
abstinence,2,7.08E-06,-11.8585521,9,4.28E-07,-14.66404318,836996,8.17E-07,-14.01804966,3,2.05E-06,-13.0980823
abstract,2,7.08E-06,-11.8585521,34,1.62E-06,-13.33490723,15059113,1.47E-05,-11.12813035,1,6.83E-07,-14.19669459
abuse,9,3.18E-05,-10.3544747,268,1.27E-05,-11.27028078,22645254,2.21E-05,-10.72016338,35,2.39E-05,-10.64134652
abused,7,2.48E-05,-10.60578913,142,6.75E-06,-11.9054407,2923809,2.85E-06,-12.76722645,20,1.37E-05,-11.20096231
abuses,1,3.54E-06,-12.55169928,18,8.56E-07,-13.970896,2325620,2.27E-06,-12.996127,4,2.73E-06,-12.81040022
abusing,2,7.08E-06,-11.8585521,63,3.00E-06,-12.71813303,908451,8.86E-07,-13.936128,5,3.42E-06,-12.58725667
abusive,1,3.54E-06,-12.55169928,88,4.19E-06,-12.38393094,2605403,2.54E-06,-12.88252631,2,1.37E-06,-13.5035474
academic,1,3.54E-06,-12.55169928,146,6.94E-06,-11.87766114,27374766,2.67E-05,-10.53049203,9,6.15E-06,-11.99947001
academically,2,7.08E-06,-11.8585521,36,1.71E-06,-13.27774882,719995,7.02E-07,-14.16862468,4,2.73E-06,-12.81040022
academics,6,2.12E-05,-10.75993981,72,3.42E-06,-12.58460164,2687753,2.62E-06,-12.85140814,5,3.42E-06,-12.58725667
academies,1,3.54E-06,-12.55169928,4,1.90E-07,-15.4749734,376376,3.67E-07,-14.81728031,1,6.83E-07,-14.19669459
academy,6,2.12E-05,-10.75993981,98,4.66E-06,-12.27630028,2010469,1.96E-06,-13.14174564,16,1.09E-05,-11.42410586
accent,6,2.12E-05,-10.75993981,870,4.14E-05,-10.09277455,3116437,3.04E-06,-12.70342331,17,1.16E-05,-11.36348124
accents,4,1.42E-05,-11.16540492,138,6.56E-06,-11.93401407,2049764,2.00E-06,-13.12238901,7,4.78E-06,-12.25078444
accept,17,6.02E-05,-9.718485937,791,3.76E-05,-10.18796979,37837683,3.69E-05,-10.20680816,44,3.01E-05,-10.41250495
acceptable,9,3.18E-05,-10.3544747,790,3.76E-05,-10.18923481,11899711,1.16E-05,-11.36359956,23,1.57E-05,-11.06120037
acceptance,2,7.08E-06,-11.8585521,49,2.33E-06,-12.96944746,34150616,3.33E-05,-10.30933305,3,2.05E-06,-13.0980823
accepted,8,2.83E-05,-10.47225774,295,1.40E-05,-11.1742924,39621556,3.87E-05,-10.16074036,21,1.43E-05,-11.15217215
accepting,2,7.08E-06,-11.8585521,159,7.56E-06,-11.79236355,5976439,5.83E-06,-12.05228877,7,4.78E-06,-12.25078444
access,17,6.02E-05,-9.718485937,965,4.59E-05,-9.989139656,146412728,0.000142854,-8.853684134,47,3.21E-05,-10.34654698
accesses,1,3.54E-06,-12.55169928,3,1.43E-07,-15.76265547,1455279,1.42E-06,-13.46491604,,,
accessible,4,1.42E-05,-11.16540492,104,4.95E-06,-12.21687686,16006501,1.56E-05,-11.06711872,5,3.42E-06,-12.58725667
accident,11,3.89E-05,-10.15380401,554,2.63E-05,-10.54410307,13245961,1.29E-05,-11.256421,36,2.46E-05,-10.61317565
accidental,2,7.08E-06,-11.8585521,14,6.66E-07,-14.22221043,2745651,2.68E-06,-12.83009547,9,6.15E-06,-11.99947001
accidentally,5,1.77E-05,-10.94226137,93,4.42E-06,-12.32866826,2510570,2.45E-06,-12.91960385,3,2.05E-06,-13.0980823
accidents,3,1.06E-05,-11.45308699,172,8.18E-06,-11.71377328,5397246,5.27E-06,-12.15422485,16,1.09E-05,-11.42410586
accommodate,2,7.08E-06,-11.8585521,49,2.33E-06,-12.96944746,6863489,6.70E-06,-11.91389776,6,4.10E-06,-12.40493512
accomplish,4,1.42E-05,-11.16540492,145,6.90E-06,-11.88453401,5962542,5.82E-06,-12.05461677,17,1.16E-05,-11.36348124
accomplished,3,1.06E-05,-11.45308699,107,5.09E-06,-12.18843892,7529508,7.35E-06,-11.82128397,9,6.15E-06,-11.99947001
accomplishing,2,7.08E-06,-11.8585521,24,1.14E-06,-13.68321393,807200,7.88E-07,-14.05429748,1,6.83E-07,-14.19669459
accord,3,1.06E-05,-11.45308699,25,1.19E-06,-13.64239193,2429417,2.37E-06,-12.95246236,12,8.20E-06,-11.71178794
accordance,1,3.54E-06,-12.55169928,9,4.28E-07,-14.66404318,24837226,2.42E-05,-10.6277701,1,6.83E-07,-14.19669459
according,5,1.77E-05,-10.94226137,317,1.51E-05,-11.10236598,48440290,4.73E-05,-9.959781766,25,1.71E-05,-10.97781876
accordingly,1,3.54E-06,-12.55169928,40,1.90E-06,-13.1723883,4940762,4.82E-06,-12.2425941,3,2.05E-06,-13.0980823
account,5,1.77E-05,-10.94226137,350,1.66E-05,-11.0033346,100548974,9.81E-05,-9.229468759,79,5.40E-05,-9.827246733
accountable,1,3.54E-06,-12.55169928,123,5.85E-06,-12.0490834,3220208,3.14E-06,-12.67066772,7,4.78E-06,-12.25078444
accounting,11,3.89E-05,-10.15380401,344,1.64E-05,-11.0206261,17995782,1.76E-05,-10.94997627,13,8.88E-06,-11.63174523
accounts,2,7.08E-06,-11.8585521,91,4.33E-06,-12.35040825,23842586,2.33E-05,-10.66864036,15,1.02E-05,-11.48864438
accredited,2,7.08E-06,-11.8585521,8,3.80E-07,-14.78182622,6687059,6.52E-06,-11.93993951,1,6.83E-07,-14.19669459
accumulate,1,3.54E-06,-12.55169928,27,1.28E-06,-13.56543089,1618813,1.58E-06,-13.35842051,6,4.10E-06,-12.40493512
accumulated,2,7.08E-06,-11.8585521,16,7.61E-07,-14.08867903,3200866,3.12E-06,-12.67669227,2,1.37E-06,-13.5035474
accurate,2,7.08E-06,-11.8585521,142,6.75E-06,-11.9054407,22932755,2.24E-05,-10.70754743,23,1.57E-05,-11.06120037
accurately,1,3.54E-06,-12.55169928,7,3.33E-07,-14.91535761,6391096,6.24E-06,-11.9852079,2,1.37E-06,-13.5035474
accused,2,7.08E-06,-11.8585521,122,5.80E-06,-12.05724671,7806124,7.62E-06,-11.78520512,20,1.37E-05,-11.20096231
accustomed,1,3.54E-06,-12.55169928,79,3.76E-06,-12.4918199,1610254,1.57E-06,-13.36372174,10,6.83E-06,-11.89410949
ache,1,3.54E-06,-12.55169928,25,1.19E-06,-13.64239193,688605,6.72E-07,-14.21320114,1,6.83E-07,-14.19669459
achieve,2,7.08E-06,-11.8585521,111,5.28E-06,-12.15173756,25908255,2.53E-05,-10.58555203,6,4.10E-06,-12.40493512
achievement,3,1.06E-05,-11.45308699,12,5.71E-07,-14.37636111,9016107,8.80E-06,-11.64110103,4,2.73E-06,-12.81040022
achievers,1,3.54E-06,-12.55169928,3,1.43E-07,-15.76265547,209051,2.04E-07,-15.40529071,,,
acid,1,3.54E-06,-12.55169928,26,1.24E-06,-13.60317122,20426713,1.99E-05,-10.82327017,25,1.71E-05,-10.97781876
acknowledge,1,3.54E-06,-12.55169928,49,2.33E-06,-12.96944746,6174188,6.02E-06,-12.0197363,,,
acknowledged,1,3.54E-06,-12.55169928,16,7.61E-07,-14.08867903,5809592,5.67E-06,-12.08060333,,,
acoustic,1,3.54E-06,-12.55169928,16,7.61E-07,-14.08867903,5028557,4.91E-06,-12.22498061,2,1.37E-06,-13.5035474
acoustically,1,3.54E-06,-12.55169928,,,,149155,1.46E-07,-15.74288292,,,
acoustics,2,7.08E-06,-11.8585521,2,9.51E-08,-16.16812058,769089,7.50E-07,-14.10266225,8,5.46E-06,-12.11725304
